id,name
142,CHINATRUST COMMERCIAL BANK LIMITED
143,ABU DHABI COMMERCIAL BANK
144,SHIKSHAK SAHAKARI BANK LIMITED
145,BANK OF CEYLON
146,DOHA BANK
147,FIRSTRAND BANK LIMITED
148,DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATIO
149,CREDIT SUISEE AG
150,INDUSTRIAL BANK OF KOREA
151,WOORI BANK
152,WESTPAC BANKING CORPORATION
153,COMMONWEALTH BANK OF AUSTRALIA
154,MASHREQBANK PSC
155,SBM BANK MAURITIUS LIMITED
156,RABOBANK INTERNATIONAL
157,EXPORT IMPORT BANK OF INDIA
158,JP MORGAN BANK
159,THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK 
160,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED
161,RAJKOT NAGRIK SAHAKARI BANK LIMITED
162,BANK INTERNASIONAL INDONESIA
163,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED
164,THE SEVA VIKAS COOPERATIVE BANK LIMITED
165,UNITED OVERSEAS BANK LIMITED
166,SBER BANK
167,NATIONAL AUSTRALIA BANK LIMITED
168,DOHA BANK QSC
169,NATIONAL BANK OF ABU DHABI PJSC
170,SUMITOMO MITSUI BANKING CORPORATION
